text,size,bold,is_caps,length,section_number_pattern,y0,x0,keyword,label
Overview,24.0,1,0,8,0,189.62,252.65,0,1
Foundation Level Extensions,24.0,1,0,27,0,244.84,139.35,0,1
Version 1.0,12.0,0,0,11,0,382.43,275.69,0,0
International Software Testing Qualifications Board,18.0,0,0,51,0,465.70,103.34,0,0
Copyright Notice,9.96,0,0,16,0,652.29,70.94,0,0
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.96,0,0,93,0,663.81,70.94,0,0
International,9.96,0,0,13,0,38.63,447.91,0,0
Overview,12.0,0,0,8,0,41.58,74.42,0,0
Software Testing,9.96,0,0,16,0,50.15,437.95,0,0
Foundation Level Extension –,9.96,0,0,28,0,58.43,74.42,0,0
Agile Tester,9.96,0,0,12,0,58.43,209.09,0,0
Qualifications,9.96,0,0,14,0,61.67,430.75,0,0
Board,9.96,0,0,5,0,61.67,493.55,0,0
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.96,0,0,92,0,120.37,70.94,0,0
Version 2014,9.96,0,0,12,0,718.68,76.58,0,0
Page 2 of 12,9.96,0,0,12,0,718.68,270.16,0,0
"May 31, 2014",9.96,0,0,12,0,718.68,471.58,0,0
© International Software Testing Qualifications Board,6.0,0,0,53,0,736.89,76.58,0,0
Qualifications Board,9.96,0,0,20,0,61.67,430.75,0,0
International,9.96,0,0,13,0,38.63,447.91,0,0
Overview,12.0,0,0,8,0,41.58,74.42,0,0
Software Testing,9.96,0,0,16,0,50.15,437.95,0,0
Foundation Level Extension –,9.96,0,0,28,0,58.43,74.42,0,0
Agile Tester,9.96,0,0,12,0,58.43,209.09,0,0
Revision History,15.96,1,0,16,0,108.94,70.94,0,2
Version,9.96,1,0,7,0,139.45,74.42,0,0
Date,9.96,1,0,4,0,139.45,146.42,0,0
Remarks,9.96,1,0,7,0,139.45,278.69,0,0
0.1,9.96,0,0,3,0,151.81,74.42,0,0
18 JUNE 2013,9.96,0,1,12,1,151.81,146.42,0,0
Initial version,9.96,0,0,15,0,151.81,278.69,0,0
0.2,9.96,0,0,3,0,164.05,74.42,0,0
23 JULY 2013,9.96,0,1,12,1,164.05,146.42,0,0
WG reviewed and confirmed,9.96,0,0,25,0,164.05,278.69,0,0
0.3,9.96,0,0,3,0,176.29,74.42,0,0
6 NOV 2013,9.96,0,1,10,1,176.29,146.42,0,0
amended population and diagram,9.96,0,0,30,0,176.29,278.69,0,0
0.7,9.96,0,0,3,0,188.53,74.42,0,0
11 DEC 2013,9.96,0,1,11,1,188.53,146.42,0,0
Amended Business Outcomes and Chapters matching,9.96,0,0,47,0,188.53,278.69,0,0
0.8,9.96,0,0,3,0,200.77,74.42,0,0
20 DEC 2013,9.96,0,1,11,1,200.77,146.42,0,0
Working group updates on 0.7,9.96,0,0,28,0,200.77,278.69,0,0
1.0,9.96,0,0,3,0,213.01,74.42,0,0
31 MAY 2014,9.96,0,1,11,1,213.01,146.42,0,0
GA release for Agile Extension,9.96,0,0,30,0,213.01,278.69,0,0
Version 2014,9.96,0,0,12,0,718.69,76.58,0,0
Page 3 of 12,9.96,0,0,12,0,718.69,270.17,0,0
"May 31, 2014",9.96,0,0,12,0,718.69,471.58,0,0
© International Software Testing Qualifications Board,6.0,0,0,53,0,736.89,76.58,0,0
..........................................................................................................................................,9.96,1,0,138,0,144.73,151.82,0,0
........................................................................................................................................,9.96,1,0,136,0,162.13,157.34,0,0
...............................................,9.96,1,0,76,0,179.65,322.97,0,0
...............................................................,9.96,1,0,63,0,197.17,358.87,0,0
.....................................................................................................................,9.96,0,0,117,0,214.80,195.86,0,0
............................................................................................................,9.96,0,0,108,0,226.33,221.82,0,0
...................................................................................................................,9.96,0,0,115,0,237.76,201.63,0,0
...................................................................................................................,9.96,0,0,115,0,249.29,201.63,0,0
...................................................................................................,9.96,0,0,99,0,260.81,247.74,0,0
......................................................................................................................,9.96,0,0,118,0,272.33,192.99,0,0
.........................................,9.96,1,0,41,0,289.73,414.08,0,0
.................................................................................................................,9.96,0,0,113,0,307.37,201.62,0,0
....................................................................................................................................,9.96,0,0,132,0,318.78,146.90,0,0
..........................................................................................................................................,9.96,1,0,138,0,336.18,146.30,0,0
.............................................................................................................................,9.96,0,0,125,0,353.82,167.07,0,0
.......................................................................................................,9.96,0,0,103,0,365.34,230.46,0,0
International,9.96,0,0,13,0,38.63,447.91,0,0
Overview,12.0,0,0,8,0,41.58,74.42,0,0
Software Testing,9.96,0,0,16,0,50.15,437.95,0,0
Foundation Level Extension –,9.96,0,0,28,0,58.43,74.42,0,0
Agile Tester,9.96,0,0,12,0,58.43,209.09,0,0
Qualifications,9.96,0,0,14,0,61.67,430.75,0,0
Board,9.96,0,0,5,0,61.67,493.55,0,0
Table of Contents,15.96,1,0,17,0,108.94,70.94,1,2
Revision History,9.96,1,0,16,0,144.73,70.94,0,0
3,9.96,1,0,1,0,144.73,535.18,0,0
Table of Contents,9.96,1,0,17,0,162.13,70.94,1,2
4,9.96,1,0,1,0,162.13,535.18,0,0
1.,9.96,1,0,2,0,179.65,70.94,0,0
Introduction to the Foundation Level Extensions,9.96,1,0,47,0,179.65,90.98,0,2
6,9.96,1,0,1,0,179.65,535.18,0,0
2.,9.96,1,0,2,0,197.17,70.94,0,0
Introduction to Foundation Level Agile Tester Extension,9.96,1,0,55,0,197.17,90.98,0,2
7,9.96,1,0,1,0,197.17,535.18,0,0
2.1,9.96,0,0,3,0,214.80,80.90,0,0
Intended Audience,9.96,0,0,17,0,214.80,110.90,0,3
7,9.96,0,0,1,0,214.80,535.18,0,0
2.2,9.96,0,0,3,0,226.33,80.90,0,0
Career Paths for Testers,9.96,0,0,24,0,226.33,110.90,0,3
7,9.96,0,0,1,0,226.33,535.19,0,0
2.3,9.96,0,0,3,0,237.76,80.91,0,0
Learning Objectives,9.96,0,0,19,0,237.76,110.91,0,3
7,9.96,0,0,1,0,237.76,535.19,0,0
2.4,9.96,0,0,3,0,249.29,80.91,0,0
Entry Requirements,9.96,0,0,18,0,249.29,110.91,0,3
8,9.96,0,0,1,0,249.29,535.19,0,0
2.5,9.96,0,0,3,0,260.81,80.91,0,0
Structure and Course Duration,9.96,0,0,29,0,260.81,110.91,0,3
8,9.96,0,0,1,0,260.81,535.19,0,0
2.6,9.96,0,0,3,0,272.33,80.91,0,0
Keeping It Current,9.96,0,0,18,0,272.33,110.91,0,3
9,9.96,0,0,1,0,272.33,535.19,0,0
3.,9.96,1,0,2,0,289.73,70.95,0,0
Overview of the Foundation Level Extension –,9.96,1,0,44,0,289.73,90.99,0,2
Agile Tester Syllabus,9.96,1,0,21,0,289.73,312.89,0,2
10,9.96,1,0,2,0,289.73,529.54,0,0
3.1,9.96,0,0,3,0,307.37,80.90,0,0
Business Outcomes,9.96,0,0,17,0,307.37,110.90,0,3
10,9.96,0,0,2,0,307.37,529.54,0,0
3.2,9.96,0,0,3,0,318.78,80.90,0,0
Content,9.96,0,0,7,0,318.78,110.90,0,3
10,9.96,0,0,2,0,318.78,529.54,0,0
4.,9.96,1,0,2,0,336.18,70.94,0,0
References,9.96,1,0,10,0,336.18,90.98,1,2
12,9.96,1,0,2,0,336.18,529.54,0,0
4.1,9.96,0,0,3,0,353.82,80.90,0,0
Trademarks,9.96,0,0,10,0,353.82,110.90,0,3
12,9.96,0,0,2,0,353.82,529.55,0,0
4.2,9.96,0,0,3,0,365.34,80.91,0,0
Documents and Web Sites,9.96,0,0,23,0,365.34,110.91,0,3
12,9.96,0,0,2,0,365.34,529.55,0,0 